county,state,season,report_num,latitude,longitude,date,number,classification,temp_hi,temp_lo,id
Glacier County,Montana,Summer,Report 12636: Video taken of running biped near Avalanche in Glacier National Park,48.68,-113.82,2003,12636,Class B,90.19,74.58,30
Granite County,Montana,Summer,Report 34024: After exploring old gold mines a rock is thrown at a moving vehicle near Georgetown,46.30766,-113.1424,2010,34024,Class B,49.72,37.735,30
Lewis And Clark County,Montana,Winter,Report 1533: Motorist & passenger see white creature standing off I-15,47.07444,-111.9625,1981,1533,Class B,NA,NA,30
Lewis And Clark County,Montana,Summer,Report 1519: Boys observe hairy man-like creature several times,47.04333,-112.7031,1982,1519,Class A,NA,NA,30
Lewis And Clark County,Montana,Fall,Report 562: Hunting party reports frightening vocalization,47.07954,-112.5649,1990,562,Class B,NA,NA,30
Lewis And Clark County,Montana,Summer,Report 5627: Woman reports afternoon sighting,46.83285,-112.702,1994,5627,Class A,NA,NA,30
Lewis And Clark County,Montana,Summer,Report 6170: Boy Scouts watch creature eating leaves along Dearborn River,47.12806,-111.9094,2004,6170,Class A,42.97,31.27,30
Meagher County,Montana,Winter,Report 41782: Man-like figure seen running along a tree-line off Hwy. 12 near Checkerboard,46.59692,-110.6268,2012,41782,Class B,45.69,36.905,30
Mineral County,Montana,Spring,Report 65664: Sighting by trucker on Hwy 90 at Lookout Pass outside Tammany,47.43904,-115.6545,2020,65664,Class A,40.18,30.455,30
Missoula County,Montana,Summer,Report 1649: Witnesses hear two powerful vocalizations near their property on the Flathead Reservation,47.03222,-114.0906,1989,1649,Class C,78.24,65.735,30
Missoula County,Montana,Summer,Report 9873: Woman reports sighting at the edge of backyard,47.06032,-114.0717,2004,9873,Class A,73.35,63.03,30
Missoula County,Montana,Winter,Report 10357: Two men report powerful vocalizations behind neighborhood,46.75889,-114.08,2005,10357,Class B,55.5,41.635,30
Missoula County,Montana,Fall,Report 36727: Biologist observes a biped on a ridge outside Missoula,46.96508,-114.0725,2006,36727,Class B,73.65,59.615,30
Missoula County,Montana,Summer,Report 40412: Morning hike turns a veterinarian and her family into believers near Missoula,46.5252,-113.5911,2012,40412,Class B,82.16,66.63,30
Missoula County,Montana,Summer,"Report 59607: Campers describe stalking, rock-throwing and snapped trees in Lolo National Forest",46.93335,-113.8334,2018,59607,Class B,56.92,50.39,30
Park County,Montana,Summer,Report 2995: A van driver and passenger observe a large animal walking,45.66722,-110.8069,2001,2995,Class A,85.19,71.26,30
Ravalli County,Montana,Fall,Report 21839: Trucker couple report daytime road-crossing sighting near Sula,45.82285,-114.0125,2005,21839,Class A,71.6,56.365,30
Roosevelt County,Montana,Fall,Report 1700: Witnesses hear unusual screams while hunting & note local Indian stories regarding Bigfoot,48.03278,-105.8642,1984,1700,Class C,NA,NA,30
Sanders County,Montana,Winter,Report 63381: Daylight sighting by motorists near the Flathead River,47.25335,-114.45,2017,63381,Class A,32.72,27.83,30
Cascade County,Montana,Spring,"Report 1208: Vocalizing, smelly animal circles cabin",47.17833,-111.9744,1982,1208,Class C,NA,NA,30
Carbon County,Montana,Summer,Report 36008: Photograph taken of a figure sitting by a creek outside Red Lodge,45.28074,-109.5528,2012,36008,Class B,81.78,68.645,30
Broadwater County,Montana,Winter,Report 37974: Elk hunter finds large bi-pedal tracks on Mount Baldy,46.48392,-111.2644,2012,37974,Class B,36.61,30.65,30
Big Horn County,Montana,Winter,Report 17292: Late night sighting by motorist near Decker Montana,45.0262,-106.8331,2007,17292,Class A,24.48,21.105,30
Beaverhead County,Montana,Fall,Report 40524: Photo taken of a possible print near Lake Esler and memory told of a daylight sighting near Deerhead Lake,45.3705,-112.9707,2012,40524,Class A,79.6,61.865,30
Yadkin County,North Carolina,Unknown,Report 3439: Young boy startles creature under house porch.,36.09945,-80.7704,1971,3439,Class A,NA,NA,37
Warren County,North Carolina,Fall,Report 7246: Hunter has daytime sighting near Shocco Creek,36.21335,-78.09365,1983,7246,Class A,59.81,NA,37
Transylvania County,North Carolina,Fall,Report 58022: Mother and daughter see 9' tall white-furred creature while camping in Pisgah NF outside Brevard.,35.1685,-82.488,2011,58022,Class A,80.38,65.44,37
Swain County,North Carolina,Summer,Report 4763: Hikers find footprint in Great Smoky Mountains National Park.,35.5131,-83.5582,1975,4763,Class B,NA,NA,37
Surry County,North Carolina,Winter,Report 10776: Mother and daughter find footprints in their front yard in Pilot Mountain.,36.38287,-80.46865,1999,10776,Class B,56.64,43.825,37
Stokes County,North Carolina,Winter,Report 19015: Possible vocalization and approach to tents reported by campers on private land near Pilot Mountain,36.48615,-80.375,2007,19015,Class B,79.89,71.3,37
Stanly County,North Carolina,Fall,"Report 3337: Woman witnesses a 7 foot tall, silver-black sasquatch while driving",35.2256,-80.26915,1994,3337,Class A,NA,NA,37
Sampson County,North Carolina,Fall,Report 6267: Two young men are confronted in broad daylight by a large creature near Falcon,35.18637,-78.63611,1976,6267,Class A,41.33,37.77,37
Rutherford County,North Carolina,Spring,Report 14801: Daylight sighting by fishermen on Broad River,35.451,-82.287,1991,14801,Class A,56.4,45.875,37
Robeson County,North Carolina,Fall,Report 49977: Motorist has a nighttime sighting on I-95 near Rowland,34.5287,-79.267080000000007,2015,49977,Class A,78.71,68.08,37
Richmond County,North Carolina,Fall,Report 26013: Deer hunter finds possible footprint near Ellerbe,35.0554,-79.88049,2008,26013,Class B,61.65,53.02,37
Swain County,North Carolina,Winter,"Report 3338: Long trail of 13"" long human-like footprints found in deep snow and rough terrain",35.5605,-83.5214,1998,3338,Class B,NA,NA,37
Swain County,North Carolina,Winter,Report 64024: YESTERDAY motorists in Smoky Mts. observe a Bigfoot along Little Tennessee River,35.33783,-83.52992,2020,64024,Class A,45.65,40.155,37
Wilkes County,North Carolina,Summer,Report 27908: Man recalls his 1978 close encounter with a large hair covered creature in Wilkesboro,36.31126,-81.30889,1978,27908,Class A,NA,NA,37
Wilkes County,North Carolina,Winter,"Report 67749: Deer hunter sees tree shaking, then see the large shaker, outside Wilkesboro",36.0055,-81.08335,2019,67749,Class A,46.25,42.13,37
Yadkin County,North Carolina,Winter,"Report 13378: Menacing commotion at night, tracks in snow the next morning, out Yadkinville",36.134,-80.66,1976,13378,Class B,54.13,NA,37
Randolph County,North Carolina,Summer,Report 42580: Motorists have a possible late night sighting outside Seagrove,35.56577,-79.75537,2012,42580,Class B,88.12,76.49,37
Polk County,North Carolina,Fall,Report 67582: Likely Sasquatch activity around farm property near Green River gamelands,35.28195,-82.39165,2011,67582,Class B,72.74,59.26,37
Person County,North Carolina,Fall,Report 8804: Man has afternoon sighting and finds scat on his property near Flat River,36.31625,-79.03025,1997,8804,Class A,51.66,41.74,37
Pender County,North Carolina,Spring,Report 3336: Person awakes to a 'howling' or 'wailing' sound just outside the house; he compares the sound to a recorded howl of a bigfoot,34.3924,-77.7485,1998,3336,Class B,79.89,73.79,37
Pasquotank County,North Carolina,Fall,"Report 3335: Deer hunter witnesses a large, gorilla like animal",36.3715,-76.29115,1982,3335,Class A,71.98,NA,37
Orange County,North Carolina,Spring,Report 9212: Rural residents disturbed by nighttime activity near Buffalo Creek,36.2058,-78.968,2004,9212,Class B,81.92,72.28,37
Onslow County,North Carolina,Fall,Report 1939: Youth's presence startles unknown animal,34.6894,-77.2914,1965,1939,Class A,79.78,75.63,37
Nash County,North Carolina,Unknown,Report 26076: Woman recalls watching a bigfoot cross the road while riding with her mother near Rocky Mount,36.0089,-77.90525,1979,26076,Class A,NA,NA,37
Mitchell County,North Carolina,Fall,Report 450: Possible vocalizations heard by campers on the Blueridge Parkway,35.8934,-81.98335,2000,450,Class B,76.11,66.1,37
Macon County,North Carolina,Fall,Report 3333: Large creature turned and stared at couple,35.2483,-83.28265,1973,3333,Class A,NA,NA,37
Johnston County,North Carolina,Summer,Report 4676: Nighttime sighting by a man and his sister on road near Smithfield.,35.5311,-78.4048,2002,4676,Class A,85.03,78.99,37
Jackson County,North Carolina,Summer,Report 12333: Possible vocalization in the Blue Ridge Mountains,35.211,-83.007,2005,12333,Class B,78.25,70.4,37
Hoke County,North Carolina,Fall,Report 30735: Hunter in tree stand recalls startling early morning observation near Ft. Bragg,35.18083,-79.21278,1995,30735,Class A,82.77,69.29,37
Macon County,North Carolina,Winter,Report 14075: Camper describes possible vocalization and rock throwing outside Franklin.,35.10486,-83.23206,2002,14075,Class B,45.78,34.82,37
Macon County,North Carolina,Summer,Report 49148: Appalachian Trail Hikers find possible tracks and hear a late night howl near Franklin,30.0326,-83.52959,2015,49148,Class B,82.8,81.985,37
Madison County,North Carolina,Summer,Report 13492: Family describes incidents in Pisgah Nat. Forest ;  NC-06 Exped notes,35.892,-82.829,2005,13492,Class A,85.08,75.445,37
Madison County,North Carolina,Winter,Report 32447: Possible vocal interaction with children playing at dusk near Hot Springs,35.7695,-82.87408,2012,32447,Class B,50.12,46.73,37
Mcdowell County,North Carolina,Fall,Report 30757: Driver & passenger observe late night road crossing near Spruce Pine,35.85107,-82.05008,2009,30757,Class A,65.62,52.86,37
Mcdowell County,North Carolina,Winter,Report 63252: Ongoing incidents in North Cove outside Asheville,35.6644,-81.78065,2016,63252,Class A,60.78,55.135,37
Montgomery County,North Carolina,Summer,Report 15492: Road-crossing sighting by motorist on Hwy 220 north of Candor,35.30773,-79.75644,1990,15492,Class A,NA,NA,37
Montgomery County,North Carolina,Summer,Report 8983: Campers have morning sighting in Uwharrie National Forest,35.4449,-80.0616,2004,8983,Class A,79.21,72.07,37
Montgomery County,North Carolina,Winter,Report 27906: Unknown early morning visitor heard by a youth leader in the Uwharrie National Forest,35.31924,-80.03551,2010,27906,Class B,39.17,34.595,37
Montgomery County,North Carolina,Fall,Report 41040: Campers awakened by heavy bipedal footsteps in Uwharrie National Forest,35.43787,-80.69763,2011,41040,Class B,72.77,58.395,37
Montgomery County,North Carolina,Spring,Report 67540: Gold panner reports rocks thrown in frequent sighting zone within Uwharrie National Forest,35.25048,-79.86721,2014,67540,Class B,71.95,51.67,37
Montgomery County,North Carolina,Fall,Report 47026: Camper is subjected to possible intimidation behavior in the Uwharrie National Forest,35.35636,-80.01653,2014,47026,Class B,58.55,48.7,37
Montgomery County,North Carolina,Summer,Report 49906: Morning hiker hears possible knocks and strange vocals in the Uwharrie National Forest,35.31331,-80.00272,2015,49906,Class B,74.39,68.47,37
Montgomery County,North Carolina,Fall,Report 50074: Possible encounter scares a camper from his hammock while in the Uwharrie National Forest,35.46955,-80.08778,2015,50074,Class B,75.12,66.765,37
Montgomery County,North Carolina,Summer,Report 65677: Road crossing sighting on Hwy 109 near Mt. Gilead and Uwharrie National Forest,35.24749,-79.97967,2020,65677,Class A,79.52,71.655,37
Onslow County,North Carolina,Fall,Report 31303: Early morning traveler recalls roadway sighting near Holly Ridge,34.50917,-77.53445,1983,31303,Class A,82.65,70.8,37
Onslow County,North Carolina,Summer,"Report 3334: Man hits 7 foot tall, reddish-brown creature with his car, then is pursued by the creature",34.7576,-77.5873,1987,3334,Class B,79.41,74.615,37
Onslow County,North Carolina,Summer,Report 9750: Motorist observes bipedal animal shaking a pecan tree near Camp LeJeune.,34.53784,-77.50434,1999,9750,Class A,85.92,77.675,37
Onslow County,North Carolina,Winter,Report 24334: While training a U.S. Marine witnesses a large creature near Camp LeJuene,34.40434,-77.23759,2005,24334,Class A,58.54,44.405,37
Henderson County,North Carolina,Spring,Report 3332: Motorist slams on his brakes when a 4-5' brown shaggy creature steps in front of his car near Hendersonville,35.33975,-82.443,1983,3332,Class A,57.79,46.365,37
Haywood County,North Carolina,Fall,Report 12640: Possible vocalization in Great Smoky Mountain National Park,35.89305,-83.26097,2005,12640,Class B,41.77,34.07,37
Greene County,North Carolina,Fall,Report 6960: Early morning vocalizations heard near Rainbow Creek,35.42525,-77.67995,1968,6960,Class B,79.84,72.92,37
Davie County,North Carolina,Summer,Report 7393: Teenage boys have sighting at night near Lake Myers,35.91965,-80.6282,1977,7393,Class A,90.59,NA,37
Davidson County,North Carolina,Fall,Report 15520: Possible vocalizations heard periodically over the years outside Lexington,35.87885,-80.2068,1998,15520,Class B,69.72,55.07,37
Cumberland County,North Carolina,Summer,"Report 18680: Soldier on maneuvers finds large, human-like footprints at Fort Bragg",35.1312,-79.11128,1989,18680,Class B,73.42,67.91,37
Carteret County,North Carolina,Spring,Report 33358: Military officer recalls possible daylight sighting while driving in the Croatan National Forest,34.79914,-77.10508,1977,33358,Class B,82.06,74.505,37
Caldwell County,North Carolina,Fall,"Report 3331: While out trout fishing, father and son come across one big footprint in the sand",35.94585,-81.7418,1998,3331,Class B,70.98,59.28,37
Buncombe County,North Carolina,Fall,"Report 9218: Just after sundown, driver has sighting close to Carter Mountain",35.7909,-82.4614,1986,9218,Class B,76.86,66.77,37
Bertie County,North Carolina,Fall,Report 13663: Daylight sighting by hunters near Windsor,35.998,-76.946,1989,13663,Class A,NA,NA,37
Avery County,North Carolina,Fall,Report 29024: Daylight sighting of a bipedal animal by a motorist near Linville,35.88561,-81.92929,2010,29024,Class A,69.59,53.185,37
Ashe County,North Carolina,Winter,Report 2149: Park Rangers and residents of Glendale Springs observe large footprints in deep snow,36.3461,-81.38915,1987,2149,Class B,NA,NA,37
Alexander County,North Carolina,Summer,Report 41508: Motorist observes large hairy biped in the late afternoon near Taylorsville,35.94647,-81.03185,2013,41508,Class A,89.85,79.62,37
Alexander County,North Carolina,Fall,Report 43204: Possible early evening sighting while driving by a vineyard near Taylorsville,35.84103,-81.20877,2013,43204,Class B,67.92,60.58,37
Ashe County,North Carolina,Summer,Report 24264: Possible howls heard in the Three Top Mountain area,36.42315,-81.56219,2008,24264,Class B,84.11,73.9,37
Avery County,North Carolina,Spring,Report 28381: Campers hear multiple whooping sounds at Linville Falls,35.95865,-81.95195,2011,28381,Class B,77.7,68.63,37
Buncombe County,North Carolina,Fall,Report 15108: Adult recounters childhood sighting on Black Mountain,35.618,-82.321,1991,15108,Class A,56.08,50.04,37
Buncombe County,North Carolina,Spring,Report 69464: Large trees shaking 15 miles SW of Asheville,35.2725,-82.65414,2016,69464,Class B,83.74,75.13,37
Burke County,North Carolina,Fall,Report 3270: Two experienced campers hear vocalizations unlike any thay are familiar with,35.83845,-81.80479,2001,3270,Class B,73.44,58.77,37
Burke County,North Carolina,Summer,Report 41506: Fisherman reports possible sightings and activity around Lake James,35.78043,-81.77603,2013,41506,Class B,86.66,77.71,37
Cleveland County,North Carolina,Winter,Report 10608: Deer hunter watches large upright walking animal on Butler Knob.,35.6267,-81.5917,1972,10608,Class A,NA,NA,37
Cleveland County,North Carolina,Summer,Report 15554: Man describes his wife's observation of a very tall figure outside their home near King's Mountain,35.194,-81.402,2006,15554,Class B,85.1,74.065,37
Davidson County,North Carolina,Fall,Report 18516: Daylight sighting by farmer (and children) plowing field next to the Yadkin River,35.75,-80.375,2007,18516,Class A,53.98,43.08,37
Davidson County,North Carolina,Spring,Report 18943: Possible pre-dawn approach to property outside Winston-Salem,35.95815,-80.2084,2007,18943,Class B,69.11,60.41,37
Duplin County,North Carolina,Fall,Report 42999: Law Enforcement Officer observes large figure along river bank while hunting for deer near Pin Hook,34.78052,-77.85507,2011,42999,Class A,67.61,56.805,37
Haywood County,North Carolina,Spring,Report 69433: Possible Sasquatch wood knocks heard near Masonic Monument along Blue Ridge Parkway,35.53467,-83.17152,2019,69433,Class B,77.4,67.48,37
Haywood County,North Carolina,Spring,Report 69269: Possible sighting of a Sasquatch on Blue Ridge Parkway at overlook near Masonic Monument,35.53467,-83.17152,2021,69269,Class B,59.5,51.86,37
Henderson County,North Carolina,Winter,"Report 2054: Tracks found before Christmas, near Hendersonville",35.36,-82.4831,2000,2054,Class B,32.89,20.855,37
Henderson County,North Carolina,Summer,Report 31994: Late night sighting by boy walking near Mills River,35.41939,-82.56715,2009,31994,Class A,75.17,68.03,37
Mountrail County,North Dakota,Winter,Report 8165: Rash of sighting reports from multiple witnesses,47.72964,-102.701,2004,8165,Class A,30.68,26.28,38
McLean County,North Dakota,Summer,Report 12562: Multiple witness sighting near White Shield,47.71188,-101.8886,2005,12562,Class A,75.24,60.49,38
McKenzie County,North Dakota,Winter,Report 8130: Tribal government employee photographs line of tracks in snow,47.63297,-102.7291,2004,8130,Class B,39.25,35.21,38
Saunders County,Nebraska,Summer,"Report 6410: Multiple witness sighting at night, 3 miles east of Mead, Nebraska",41.2333,-96.42668,1979,6410,Class B,72.69,68.19,31
Sarpy County,Nebraska,Summer,Report 7809: Teen has nighttime sighting near Fontenelle Forest,41.134,-95.88,2005,7809,Class A,9.8,8.595,31
Saline County,Nebraska,Fall,Report 28090: Motorist has possible night time sighting near Dorchester,40.64043,-97.13196,1997,28090,Class B,68,52.025,31
Lancaster County,Nebraska,Unknown,Report 1155: Newspaper account of an encounter with an unknown creature near Salt Creek,40.84792,-96.6824,1980,1155,Class A,98.22,85.15,31
Knox County,Nebraska,Fall,Report 1152: Hunter has evening sighting near Bazile Creek State Wildlife Management Area.,42.76609,-97.97573,1979,1152,Class A,NA,NA,31
Howard County,Nebraska,Winter,Report 15615: Creature seen walking across pasture in daylight north of Grand Island,41.55099,-98.22576,2008,15615,Class A,80.99,68.735,31
Gage County,Nebraska,Fall,Report 1149: Late Afternoon sighting by motorist near Blue Springs,40.1399,-96.7432,1974,1149,Class A,64.9,NA,31
Douglas County,Nebraska,Summer,Report 12482: Various sightings by residents near the Missouri River,41.238,-95.92,2005,12482,Class A,73.19,64.935,31
Dawes County,Nebraska,Summer,Report 25241: Nighttime sighting by a motorist on a road south of Crawford,42.5893,-103.398,1996,25241,Class A,97.44,NA,31
Dakota County,Nebraska,Fall,Report 22577: Three witnesses encounter a large creature while walking down a gravel road outside South Sioux City,42.47356,-96.46025,1998,22577,Class B,84.46,68.75,31
Cherry County,Nebraska,Unknown,"Report 25012: Woman recalls an encounter as a child, in an alley in the town of Valentine",42.87331,-100.5501,1957,25012,Class A,NA,NA,31
Strafford County,New Hampshire,Fall,Report 69143: Dog walker reports being paralled at night along dirt road near Sunrise Lake,43.45844,-71.07906,2000,69143,Class B,70.04,53.855,33
Rockingham County,New Hampshire,Summer,Report 9313: Vocalizations heard near Rockingham,43.05,-70.93333,2004,9313,Class B,74.98,65.595,33
Dawes County,Nebraska,Fall,Report 23046: Three witnesses observe large creature run in front of them while parked in Red Cloud State Park,42.69657,-103.0044,2003,23046,Class B,81.52,64.095,31
Dawes County,Nebraska,Fall,Report 16432: Possilble daylight sighting by hikers (at 300-400 yds.) in Chadron State Park,42.71425,-103.018,2006,16432,Class B,70.87,50.635,31
Somerset County,New Jersey,Summer,"Report 2750: Driving along a secluded road at night, couple's car almost strikes creature crossing road",40.7446,-74.6215,2004,2750,Class A,58.57,52.1,34
Salem County,New Jersey,Spring,Report 13310: Possible sighting near Supawna Meadows National Wildlife Refuge,39.632,-75.5167,2006,13310,Class B,42.63,36.795,34
Passaic County,New Jersey,Summer,Report 38762: Woman recalls seeing something strange cross the road while driving at dusk near Ringwood,41.06945,-74.15562,1979,38762,Class B,69.96,62.91,34
Monmouth County,New Jersey,Fall,Report 66051: Youths have evening encounter near Allaire State Park,40.18113,-74.09944,1981,66051,Class A,71.42,66.04,34
Mercer County,New Jersey,Spring,Report 22905: Man recalls sighting as a young boy on his way to go fishing in John A. Roebling Park near Bordentown,40.18478,-74.72261,1977,22905,Class A,70.93,60.595,34
Essex County,New Jersey,Fall,"Report 10046: Small group observed in a remote part of Essex County Swamp, around noon.",40.8959,-74.2918,1971,10046,Class A,70.61,65.565,34
Essex County,New Jersey,Spring,Report 16604: Possible sighting by motorist at dusk outside Livingston,40.77545,-74.3516,2006,16604,Class B,56.57,53.195,34
Hunterdon County,New Jersey,Summer,Report 20608: Late night vocalization heard by fishermen north of Flemington,40.60667,-74.84528,2008,20608,Class B,90.91,77.72,34
Middlesex County,New Jersey,Fall,Report 2271: Night time sighting by New Brunswick resident near Lawrence Brook,40.478,-74.4611,2005,2271,Class A,38.56,32.735,34
Morris County,New Jersey,Spring,"Report 12065: Group observes animal in daylight, one mile from Federal Hill near Riverdale",40.9934,-74.3249,2005,12065,Class A,33.37,27,34
Morris County,New Jersey,Spring,Report 16486: Man recalls incident during childhood -- possible vocalizaitons near Split Rock Reservoir Dam,40.9575,-74.45995,2007,16486,Class B,32.62,29.67,34
Morris County,New Jersey,Winter,Report 21977: Possible Wood Knock Interaction at Wildcat Ridge near Rockaway,40.9427,-74.46155,2007,21977,Class B,42.03,37.925,34
